genre,community,name,size
Aboriginal & Torres Strait Islander,Torres Strait Islanders,exBRACS,5000
Aboriginal & Torres Strait Islander,Torres Strait Islanders,exBRACS,5000
Local Community,ACT,1VFM,5000
Local Community,ACT,2XX FM,5000
Local Community,COCOS ,VKW,5000
Local Community,Gay & Lesbian,JOYFM,200000
Local Community,NSW,2AAA,5000
Local Community,NSW,2AIR,5000
Local Community,NSW,2ARM,5000
Local Community,NSW,2BACR FM,5000
Local Community,NSW,2BAY,5000
Local Community,NSW,2BBB,5000
Local Community,NSW,2BLU,5000
Local Community,NSW,2BOB,5000
Local Community,NSW,2BR,5000
Local Community,NSW,2CBD,5000
Local Community,NSW,2CHR,5000
Local Community,NSW,2DRY,5000
Local Community,NSW,2EAR,5000
Local Community,NSW,2GCR,5000
Local Community,NSW,2GLA,5000
Local Community,NSW,2GLF,5000
Local Community,NSW,2HAY,5000
Local Community,NSW,2HHH,5000
Local Community,NSW,2KRR,5000
Local Community,NSW,2LVR,5000
Local Community,NSW,2MCE,5000
Local Community,NSW,2MCR,5000
Local Community,NSW,2MIA,5000
Local Community,NSW,2MTM FM,5000
Local Community,NSW,2NBC,5000
Local Community,NSW,2NIM FM 102.3,5000
Local Community,NSW,2NSB,5000
Local Community,NSW,2NUR,5000
Local Community,NSW,2NVR,5000
Local Community,NSW,2OCB,5000
Local Community,NSW,2QBN,5000
Local Community,NSW,2RDJ-FM,5000
Local Community,NSW,2REM,5000
Local Community,NSW,2RES,5000
Local Community,NSW,2RRR,5000
Local Community,NSW,2RSR,5000
Local Community,NSW,2SEA,5000
Local Community,NSW,2SSR,5000
Local Community,NSW,2TEN,5000
Local Community,NSW,2UUU,5000
Local Community,NSW,2VOX,5000
Local Community,NSW,2VTR,5000
Local Community,NSW,2WAR FM,5000
Local Community,NSW,2WAY,5000
Local Community,NSW,2WCR FM,5000
Local Community,NSW,2WKT,5000
Local Community,NSW,2YAS,5000
Local Community,NSW,2YOU,5000
Local Community,NSW,3 Rivers Radio,5000
Local Community,NSW,88.9 FM Richmond,5000
Local Community,NSW,92.9FM,5000
Local Community,NSW,Alive 90.5,5000
Local Community,NSW,CoastFM963,5000
