on_air_id,community,lon,lat,licensee,description
exBRACS,YUENDUMU,131.7952881,-22.25388908,Warlpiri Media Association Inc.,Aboriginal
exBRACS,YUNGNGORA,124.8312378,-18.50119019,Yungngora Community Council,Aboriginal
EZY FM,LITHGOW,150.1511993,-33.48180008,Lithgow Community Broadcasters Inc.,Senior Citizens
Family FM,BRISBANE,153.0280151,-27.46784782,Family Radio Ltd,Religious - Christian
FBi,SYDNEY,151.2054749,-33.86148071,Free Broadcast Inc.,Youth
FM 96.3,TUMUT,148.2234955,-35.30410004,Montreal Community Theatre Inc.,General Geographic Area
FM 99.7,YARRAMAN,145.190979,-37.97791672,Yarraman & District Historical,General Geographic Area
Fresh FM,ADELAIDE,138.6010132,-34.92869186,Fresh Broadcasters Inc.,Youth
Golden Days Radio,WAVERLEY,151.1345978,-31.8484993,Golden Days Radio for Senior,Senior Citizens
Great Southern FM,VICTOR HARBOR,138.6194763,-35.55157852,Great Southern FM Community,General Geographic Area
Gulf FM,YORKE PENINSULA,137.6207733,-34.36289978,Peninsula Community Broadcasters,General Geographic Area
Heart FM,NORTHERN MIDLANDS,144.9862518,-37.79986191,Northern Midlands Community,General Geographic Area
Heritage FM,ARMADALE,115.9992981,-32.14405823,Heritage FM Inc.,General Geographic Area
HOBART FM 96.1,HOBART,147.3200073,-42.88000107,Hobart FM Inc.,General Geographic Area
Hope 103.2,SYDNEY,151.2054749,-33.86148071,Hope Media Ltd,Religious - Christian
Huon FM,HUON VALLEY,146.2899933,-43.04000092,Radio Geeveston Youth Inc.,General Geographic Area
Jazz Radio 94.1 FM,GOLD COAST,153.3343964,-27.99839973,Jazz Radio Ltd,Senior Citizens
JOYFM,MELBOURNE CITY,144.9451447,-37.81069565,Joy Melbourne Inc.,Gay & Lesbian
KCR-FM,KALAMUNDA,116.058197,-31.97377968,Kalamunda Community Radio Inc.,General Geographic Area
Koori Radio,SYDNEY,151.2054749,-33.86148071,Gadigal Information Service Aboriginal,Aboriginal
Life FM,ADELAIDE,138.6010132,-34.92869186,Christian Radio Inc.,Religious - Christian
Life FM,GOLD COAST,153.3343964,-27.99839973,Christian Air Broadcasters Ltd,Religious - Christian
Life FM,LATROBE VALLEY,146.5323639,-38.20569611,Gippsland Christian Broadcasters,Religious - Christian
Life FM,WAGGA WAGGA,147.3537445,-35.12577057,Riverina Christian Radio Inc.,Religious - Christian
Light FM,MELBOURNE,144.9451447,-37.81069565,Light FM Inc.,Religious - Christian
Lime FM,MOUNT GAMBIER,140.7552948,-37.83983994,South East Christian Broadcasters,Religious - Christian
Live FM,TOWNSVILLE,146.8131714,-19.26480675,Townsville Christian Broadcasters,Religious - Christian
Max FM,NARRABRI,149.7837067,-30.32612038,Narrabri Shire Community Radio Inc.,General Geographic Area
Monaro FM,MONARO,149.1345978,-36.21519852,Monaro Community Radio Inc.,General Geographic Area
Murri FM,MACKAY,149.1830292,-21.14315605,Mackay & District Aboriginal &,Aboriginal
Muslim Community Radio,SYDNEY,151.2054749,-33.86148071,Muslim Community Radio Inc.,Religious - Islamic
Ngarralinyi-The Listenin Place,TAREE,152.4538727,-31.91098976,Mid North Coast Indigenous Broadcasters,Aboriginal
Noosa Community,NOOSA,152.9333344,-26.29999924,Noosa District Community FM Radio,General Geographic Area
OCR FM,COLAC,143.5873566,-38.34375,OCR FM Inc,General Geographic Area
Opal FM,LIGHTNING RIDGE,147.978653,-29.4274292,Lightning Ridge Community Radio Inc.,General Geographic Area
Paradise FM,BALLINA,153.5579071,-28.84410095,Paradise FM Community Radio Assoc,Senior Citizens
Phoenix FM,BENDIGO,144.2604218,-36.77402878,Central Victorian Community,General Geographic Area
Port Stephens FM,PORT STEPHENS,152.0809937,-32.69049835,Port Stephens FM Radio Inc.,General Geographic Area
Radio 2000,SYDNEY,151.2054749,-33.86148071,Multicultural Community Radio,Ethnic - General
Radio Five-O-Plus,GOSFORD,151.3511963,-33.42350006,Five-O-Plus Public Radio Assoc Inc.,Senior Citizens
Radio Goolarri,BROOME,122.2362976,-17.96166992,Broome Aboriginal Media,Aboriginal
Radio KLFM,BENDIGO,144.2604218,-36.77402878,Radio KLFM Inc.,Senior Citizens
Radio Metro,GOLD COAST,153.3343964,-27.99839973,Radio Metro Ltd,Youth
Radio Northern,MANLY,151.2846069,-33.79850006,Manly-Warringah Media Cooperative Ltd,General Geographic Area
Radio Rhema,TAMWORTH,150.9290466,-31.0904808,Peel Valley Christian Broadcasters Inc.,Religious - Christian
Radio Yesteryear,LAKE MACQUARIE,151.6011963,-33.06520081,Radio Yesteryear Inc.,Nostalgia music
Rainbow FM,WARWICK,115.8093033,-31.83905983,Warwick Community FM Radio,General Geographic Area
Rhema FM,GEELONG,144.3548584,-38.14513779,Geelong Gospel Radio Inc.,Religious - Christian
RHEMA FM,GOSFORD,151.3511963,-33.42350006,Gosford Christian Broadcasters Ltd,Religious - Christian
Rhema FM,NAMBOUR,152.9594421,-26.62333298,Sunshine Coast Christian,Religious - Christian
Rhema FM,NEWCASTLE,151.7844849,-32.9277916,Newcastle Christian Broadcasters Ltd,Religious - Christian
Rhema FM 103.1,GRAFTON,152.9333649,-29.6901207,Clarence Valley Christian Broadcasters,Religious - Christian
Rhema FM Wide,MARYBOROUGH,143.741806,-37.05152893,Wide Bay Christian Broadcasters,Religious - Christian
RIM FM,BOONAH,152.6814575,-27.99843979,Scenic Rim Broadcasting,General Geographic Area
Rock FM,MORANBAH,147.8808289,-21.9402771,Rock FM Association Inc.,General Geographic Area
SMART FM,SWAN HILL,116.751503,-31.54237938,Swan Hill and District Community,General Geographic Area
Spirit FM,NARRANDERA,146.5511932,-34.74850082,Narrandera District Community Radio,General Geographic Area
SportFM,FREMANTLE,115.7453995,-32.0426712,Western Sports Media Inc.,Local Sports
Sunshine FM,NAMBOUR,152.9594421,-26.62333298,Sunshine FM Radio Association Inc.,Senior Citizens
SWR FM,BLACKTOWN,150.9067993,-33.77069855,SWRFM Community Media Assoc Inc.,General Geographic Area
Tamar FM,GEORGE TOWN,146.8200073,-41.09999847,Tamar FM Inc.,General Geographic Area
Tank Radio,KEMPSEY,152.8345947,-31.08180046,Macleay Valley Community FM Radio,General Geographic Area
Territory FM,DARWIN,130.8366394,-12.45722008,Charles Darwin University,General Geographic Area
todayscountry94one,GOSFORD,151.3511963,-33.42350006,Coast Community Broadcasters Inc,Country music
TRAX FM,PORT PIRIE,138.0093842,-33.17694092,Pirie Community Radio,General Geographic Area
Triple H,HORSHAM,142.1993103,-36.7131958,Horsham & District Community FM,General Geographic Area
Twin Cities FM,WANNEROO,115.8031998,-31.74711037,Wanneroo Joondalup Regional,General Geographic Area
Valley FM 95.9,ESK,152.4177856,-27.24833298,Brisbane River Valley Radio Inc.,General Geographic Area
VKW,COCOS ISLANDS,96.90329742,-12.11999989,6CKI 'Voice of the Cocos (Keeling),General Geographic Area
Voice FM,BALLARAT,143.8545837,-37.56430435,Ballarat Community FM Radio,General Geographic Area
WOW FM,PENRITH,150.6943054,-33.75130081,Way Out West Fine Music Inc.,General Geographic Area
WOW FM,PORT ADELAIDE,138.5132446,-34.83649826,Way Out West Broadcasters Inc.,General Geographic Area
WYN-FM,WERRIBEE,144.5826416,-37.84347153,WYN-FM Community Radio Inc.,General Geographic Area
York FM,YORK,116.7770004,-31.87709999,York Community Radio Inc.,General Geographic Area
