on_air_id,community,lon,lat,licensee,description
2WEB,BOURKE,144.8345795,-37.58180618,WREB Co-operative Ltd,Educational
2WKT,BOWRAL,150.4178925,-34.48180008,Highland Media Co-operative Ltd,General Geographic Area
2XX FM,CANBERRA,149.13454,-35.29844,Community Radio 2XX Inc.,General Geographic Area
2YAS,YASS,148.9178925,-34.84019852,Yass Community Radio Association,General Geographic Area
2YOU,TAMWORTH,150.9290466,-31.0904808,Tamworth Broadcasting Society Inc.,General Geographic Area
3 Rivers Radio,DUNEDOO,149.3946075,-32.02209854,Talbragar Broadcasters Inc.,General Geographic Area
3BBR-FM,WARRAGUL,145.9315338,-38.1618042,West Gippsland Community Radio,General Geographic Area
3BBS,BENDIGO,144.2604218,-36.77402878,Goldfields Community Radio Co_,General Geographic Area
3BGR,BALLARAT,143.8545837,-37.56430435,Ballarat Gospel Radio Inc.,Religious - Christian
3BPH,BENDIGO,144.2604218,-36.77402878,Vision Australia Limited,Print Handicapped
3CH,KYNETON,144.4532013,-37.24791718,Central Highlands Broadcasting Inc.,General Geographic Area
3CR,MELBOURNE,144.9451447,-37.81069565,Community Radio Melbourne Pty,Community Access
3ECB,MELBOURNE EAST,144.9665222,-37.81735992,Eastern Community Broadcasters,General Geographic Area
3GCR,LATROBE VALLEY,146.5323639,-38.20569611,Gippsland Community Radio,General Geographic Area
3GFM,MARYBOROUGH,143.741806,-37.05152893,Strengthening Goldfields,General Geographic Area
3GPH,GEELONG,144.3548584,-38.14513779,Vision Australia Limited,Print Handicapped
3GRR,ECHUCA,144.7498627,-36.12652588,Echuca Moama Broadcast Service,General Geographic Area
3HCR,OMEO,147.5920868,-37.09986115,Omeo Shire Community Access,General Geographic Area
3HOT,MILDURA,142.1625061,-34.18550873,Sunraysia Community Radio,General Geographic Area
3INR,MELBOURNE NORTH,144.9793091,-37.79958344,Inner North East Community Radio,General Geographic Area
3KND Kool 'N',MELBOURNE,144.9451447,-37.81069565,South Eastern Indigenous Media,Aboriginal
3MBR,MURRAYVILLE,141.1804199,-35.26486206,Mallee Community Broadcasters Inc,General Geographic Area
3MBS,MELBOURNE,144.9451447,-37.81069565,Music Broadcasting Society of,Fine Music
3MCR,MANSFIELD,146.0868073,-37.05263901,Mansfield Community Radio Inc.,General Geographic Area
3MDR,MOUNTAIN DISTRICTS,151.2012024,-33.28179932,Mountain District Radio Inc.,General Geographic Area
3MFM,LEONGATHA,145.9181976,-38.52486038,South Gippsland Radio 3MFM Inc.,General Geographic Area
3MGB,MALLACOOTA,149.753479,-37.55791855,Mallacoota & Genoa Broadcasting,General Geographic Area
3MPH,MILDURA,142.1625061,-34.18550873,Vision Australia Limited,Print Handicapped
3NOW,MELBOURNE NORTH,144.9793091,-37.79958344,North West Community Radio,General Geographic Area
3NRG,SUNBURY,144.727356,-37.57875061,3NRG Inc.,General Geographic Area
3ONE,SHEPPARTON,145.4057007,-36.3829155,Goulburn Valley Community Radio,General Geographic Area
3PBS,MELBOURNE,144.9451447,-37.81069565,Progressive Broadcasting Service,Progressive Music
3PVR,PLENTY VALLEY,145.1223602,-37.66986084,Plenty Valley Community Radio Inc.,General Geographic Area
3REG,EAST GIPPSLAND,147.6070862,-37.83180618,Radio East Gippsland Inc.,General Geographic Area
3RIM,MELTON,144.585434,-37.68339157,3RIM Inc.,General Geographic Area
3RPC,PORTLAND,141.6031952,-38.3445816,3RPC Incorporated,General Geographic Area
3RPH,VICTORIA COMMUNITY,144.9451447,-37.81069565,Vision Australia Limited,Print Handicapped
3RPP,MORNINGTON,145.0387573,-38.21986008,Radio Port Phillip Association Inc.,General Geographic Area
3RRR,MELBOURNE,144.9451447,-37.81069565,Triple R Broadcasters Ltd,Educational
3RUM,UPPER MURRAY,147.8376465,-36.42402649,Upper Murray Community Radio Inc.,General Geographic Area
3SCB,MELBOURNE SOUTH,144.9568024,-37.83625031,Southern Community Broadcasters,General Geographic Area
3SER,MELBOURNE SOUTH,144.9568024,-37.83625031,South Eastern Radio Association,General Geographic Area
3SPH,SHEPPARTON,145.4057007,-36.3829155,Vision Australia Limited,Print Handicapped
